"Step","male_silero - loss/g/total","male_silero - loss/g/total__MIN","male_silero - loss/g/total__MAX"
"99","39.58621597290039","39.58621597290039","39.58621597290039"
"100","40.08905792236328","40.08905792236328","40.08905792236328"
"101","41.69379806518555","41.69379806518555","41.69379806518555"
"102","38.59458923339844","38.59458923339844","38.59458923339844"
"103","41.499488830566406","41.499488830566406","41.499488830566406"
"104","39.5962028503418","39.5962028503418","39.5962028503418"
"105","40.30024719238281","40.30024719238281","40.30024719238281"
"106","38.136173248291016","38.136173248291016","38.136173248291016"
"107","38.193660736083984","38.193660736083984","38.193660736083984"
"108","38.91259002685547","38.91259002685547","38.91259002685547"
"109","37.974395751953125","37.974395751953125","37.974395751953125"
"110","39.69119644165039","39.69119644165039","39.69119644165039"
"111","36.6164665222168","36.6164665222168","36.6164665222168"
