"Step","male_silero - loss/g/kl","male_silero - loss/g/kl__MIN","male_silero - loss/g/kl__MAX"
"216","2.6978869438171387","2.6978869438171387","2.6978869438171387"
"217","2.619774580001831","2.619774580001831","2.619774580001831"
"218","2.586378812789917","2.586378812789917","2.586378812789917"
"219","2.798754930496216","2.798754930496216","2.798754930496216"
"220","2.880803108215332","2.880803108215332","2.880803108215332"
"221","1.6467853784561157","1.6467853784561157","1.6467853784561157"
"222","2.4751601219177246","2.4751601219177246","2.4751601219177246"
"223","2.5312423706054688","2.5312423706054688","2.5312423706054688"
"224","2.3222503662109375","2.3222503662109375","2.3222503662109375"
"225","2.323604106903076","2.323604106903076","2.323604106903076"
"226","2.5319666862487793","2.5319666862487793","2.5319666862487793"
"227","2.3205745220184326","2.3205745220184326","2.3205745220184326"
"228","2.268885612487793","2.268885612487793","2.268885612487793"
"229","2.4370832443237305","2.4370832443237305","2.4370832443237305"
"230","2.4579544067382812","2.4579544067382812","2.4579544067382812"
"231","2.3165886402130127","2.3165886402130127","2.3165886402130127"
"232","2.4012234210968018","2.4012234210968018","2.4012234210968018"
"233","2.274749994277954","2.274749994277954","2.274749994277954"
"234","2.0481340885162354","2.0481340885162354","2.0481340885162354"
"235","3.185904026031494","3.185904026031494","3.185904026031494"
"236","2.268326759338379","2.268326759338379","2.268326759338379"
"237","2.023268938064575","2.023268938064575","2.023268938064575"
"238","2.3617653846740723","2.3617653846740723","2.3617653846740723"
"239","2.3668320178985596","2.3668320178985596","2.3668320178985596"
"240","2.241229772567749","2.241229772567749","2.241229772567749"
"241","1.979203462600708","1.979203462600708","1.979203462600708"
"242","2.2949647903442383","2.2949647903442383","2.2949647903442383"
"243","1.768235445022583","1.768235445022583","1.768235445022583"
"244","2.4800989627838135","2.4800989627838135","2.4800989627838135"
"245","1.9778178930282593","1.9778178930282593","1.9778178930282593"
"246","2.0290112495422363","2.0290112495422363","2.0290112495422363"
"247","2.220871686935425","2.220871686935425","2.220871686935425"
"248","1.9471572637557983","1.9471572637557983","1.9471572637557983"
"249","2.150355815887451","2.150355815887451","2.150355815887451"
"250","2.12796950340271","2.12796950340271","2.12796950340271"
"251","2.3284718990325928","2.3284718990325928","2.3284718990325928"
"252","2.1809396743774414","2.1809396743774414","2.1809396743774414"
"253","2.2726500034332275","2.2726500034332275","2.2726500034332275"
"254","2.611809015274048","2.611809015274048","2.611809015274048"
"255","2.236861228942871","2.236861228942871","2.236861228942871"
"256","2.3747949600219727","2.3747949600219727","2.3747949600219727"
"257","2.5876195430755615","2.5876195430755615","2.5876195430755615"
"258","2.215731382369995","2.215731382369995","2.215731382369995"
"259","2.192877769470215","2.192877769470215","2.192877769470215"
"260","2.426143169403076","2.426143169403076","2.426143169403076"
"261","2.7537882328033447","2.7537882328033447","2.7537882328033447"
"262","2.618626117706299","2.618626117706299","2.618626117706299"
"263","2.3118338584899902","2.3118338584899902","2.3118338584899902"
"264","1.9495699405670166","1.9495699405670166","1.9495699405670166"
"265","2.225196599960327","2.225196599960327","2.225196599960327"
"266","2.4425415992736816","2.4425415992736816","2.4425415992736816"
"267","2.5592970848083496","2.5592970848083496","2.5592970848083496"
"268","2.2369866371154785","2.2369866371154785","2.2369866371154785"
"269","2.424253225326538","2.424253225326538","2.424253225326538"
"270","2.5893685817718506","2.5893685817718506","2.5893685817718506"
"271","1.800779104232788","1.800779104232788","1.800779104232788"
"272","2.5120418071746826","2.5120418071746826","2.5120418071746826"
"273","1.960376501083374","1.960376501083374","1.960376501083374"
"274","2.9068427085876465","2.9068427085876465","2.9068427085876465"
"275","2.455902338027954","2.455902338027954","2.455902338027954"
"276","2.2010161876678467","2.2010161876678467","2.2010161876678467"
"277","2.7022864818573","2.7022864818573","2.7022864818573"
"278","2.521714687347412","2.521714687347412","2.521714687347412"
"279","2.0993692874908447","2.0993692874908447","2.0993692874908447"
"280","1.887839674949646","1.887839674949646","1.887839674949646"
"281","2.4138479232788086","2.4138479232788086","2.4138479232788086"
"282","2.488990068435669","2.488990068435669","2.488990068435669"
"283","2.196645975112915","2.196645975112915","2.196645975112915"
"284","1.899137258529663","1.899137258529663","1.899137258529663"
"285","2.3734970092773438","2.3734970092773438","2.3734970092773438"
"286","2.1279215812683105","2.1279215812683105","2.1279215812683105"
"287","2.839085102081299","2.839085102081299","2.839085102081299"
"288","1.6992666721343994","1.6992666721343994","1.6992666721343994"
"289","2.2255823612213135","2.2255823612213135","2.2255823612213135"
"290","2.542322874069214","2.542322874069214","2.542322874069214"
"291","2.4072985649108887","2.4072985649108887","2.4072985649108887"
"292","2.3206846714019775","2.3206846714019775","2.3206846714019775"
"293","2.3688230514526367","2.3688230514526367","2.3688230514526367"
"294","2.1098434925079346","2.1098434925079346","2.1098434925079346"
"295","2.2538039684295654","2.2538039684295654","2.2538039684295654"
"296","1.8907512426376343","1.8907512426376343","1.8907512426376343"
"297","2.7186901569366455","2.7186901569366455","2.7186901569366455"
"298","2.302654266357422","2.302654266357422","2.302654266357422"
"299","2.522264003753662","2.522264003753662","2.522264003753662"
"300","2.878225088119507","2.878225088119507","2.878225088119507"
"301","2.2602174282073975","2.2602174282073975","2.2602174282073975"
"302","1.7427570819854736","1.7427570819854736","1.7427570819854736"
"303","2.669508695602417","2.669508695602417","2.669508695602417"
"304","2.502826452255249","2.502826452255249","2.502826452255249"
"305","2.2764670848846436","2.2764670848846436","2.2764670848846436"
"306","2.0521345138549805","2.0521345138549805","2.0521345138549805"
"307","2.5699427127838135","2.5699427127838135","2.5699427127838135"
"308","2.8559114933013916","2.8559114933013916","2.8559114933013916"
"309","1.957594871520996","1.957594871520996","1.957594871520996"
"310","2.297283411026001","2.297283411026001","2.297283411026001"
"311","2.1664743423461914","2.1664743423461914","2.1664743423461914"
"312","1.963273525238037","1.963273525238037","1.963273525238037"
"313","2.247115135192871","2.247115135192871","2.247115135192871"
"314","2.5919456481933594","2.5919456481933594","2.5919456481933594"
"315","2.2394635677337646","2.2394635677337646","2.2394635677337646"
"316","2.4188263416290283","2.4188263416290283","2.4188263416290283"
"317","2.0804615020751953","2.0804615020751953","2.0804615020751953"
"318","2.209872007369995","2.209872007369995","2.209872007369995"
"319","2.1396515369415283","2.1396515369415283","2.1396515369415283"
"320","1.929498314857483","1.929498314857483","1.929498314857483"
"321","2.267340898513794","2.267340898513794","2.267340898513794"
"322","2.825580358505249","2.825580358505249","2.825580358505249"
"323","2.5595200061798096","2.5595200061798096","2.5595200061798096"
"324","2.199779748916626","2.199779748916626","2.199779748916626"
"325","1.8306164741516113","1.8306164741516113","1.8306164741516113"
"326","2.54732084274292","2.54732084274292","2.54732084274292"
"327","2.3836100101470947","2.3836100101470947","2.3836100101470947"
"328","2.098991632461548","2.098991632461548","2.098991632461548"
"329","2.226034164428711","2.226034164428711","2.226034164428711"
"330","1.8120489120483398","1.8120489120483398","1.8120489120483398"
"331","2.344088554382324","2.344088554382324","2.344088554382324"
"332","2.312039613723755","2.312039613723755","2.312039613723755"
"333","1.7973384857177734","1.7973384857177734","1.7973384857177734"
"334","2.4150519371032715","2.4150519371032715","2.4150519371032715"
"335","2.1757845878601074","2.1757845878601074","2.1757845878601074"
"336","2.2089853286743164","2.2089853286743164","2.2089853286743164"
"337","2.453187942504883","2.453187942504883","2.453187942504883"
"338","2.2427122592926025","2.2427122592926025","2.2427122592926025"
"339","1.9199002981185913","1.9199002981185913","1.9199002981185913"
"340","2.037393093109131","2.037393093109131","2.037393093109131"
"341","2.1326823234558105","2.1326823234558105","2.1326823234558105"
"342","1.6865134239196777","1.6865134239196777","1.6865134239196777"
"343","2.248563528060913","2.248563528060913","2.248563528060913"
"344","2.8136065006256104","2.8136065006256104","2.8136065006256104"
"345","2.529583215713501","2.529583215713501","2.529583215713501"
"346","1.7542150020599365","1.7542150020599365","1.7542150020599365"
"347","2.349045991897583","2.349045991897583","2.349045991897583"
"348","2.1254165172576904","2.1254165172576904","2.1254165172576904"
"349","2.3703136444091797","2.3703136444091797","2.3703136444091797"
"350","2.300550699234009","2.300550699234009","2.300550699234009"
"351","2.571457862854004","2.571457862854004","2.571457862854004"
"352","1.6836732625961304","1.6836732625961304","1.6836732625961304"
"353","2.3824124336242676","2.3824124336242676","2.3824124336242676"
"354","2.40006160736084","2.40006160736084","2.40006160736084"
"355","2.8767740726470947","2.8767740726470947","2.8767740726470947"
"356","1.9521152973175049","1.9521152973175049","1.9521152973175049"
"357","2.6999270915985107","2.6999270915985107","2.6999270915985107"
"358","2.1086831092834473","2.1086831092834473","2.1086831092834473"
"359","2.2785491943359375","2.2785491943359375","2.2785491943359375"
"360","2.315328598022461","2.315328598022461","2.315328598022461"
"361","2.118004560470581","2.118004560470581","2.118004560470581"
"362","2.09616756439209","2.09616756439209","2.09616756439209"
"363","2.182100772857666","2.182100772857666","2.182100772857666"
"364","1.78352689743042","1.78352689743042","1.78352689743042"
"365","2.72796630859375","2.72796630859375","2.72796630859375"
"366","1.779727816581726","1.779727816581726","1.779727816581726"
"367","2.2463345527648926","2.2463345527648926","2.2463345527648926"
"368","2.0833210945129395","2.0833210945129395","2.0833210945129395"
"369","2.5230953693389893","2.5230953693389893","2.5230953693389893"
"370","2.5839529037475586","2.5839529037475586","2.5839529037475586"
"371","2.0165584087371826","2.0165584087371826","2.0165584087371826"
