"Step","male_silero - loss/g/fm","male_silero - loss/g/fm__MIN","male_silero - loss/g/fm__MAX"
"90","7.127839088439941","7.127839088439941","7.127839088439941"
"91","8.899285316467285","8.899285316467285","8.899285316467285"
"92","8.509919166564941","8.509919166564941","8.509919166564941"
"93","8.757061958312988","8.757061958312988","8.757061958312988"
"94","7.5872483253479","7.5872483253479","7.5872483253479"
"95","8.229926109313965","8.229926109313965","8.229926109313965"
"96","7.579873085021973","7.579873085021973","7.579873085021973"
"97","7.306167125701904","7.306167125701904","7.306167125701904"
"98","8.190238952636719","8.190238952636719","8.190238952636719"
"99","8.08453369140625","8.08453369140625","8.08453369140625"
"100","8.758718490600586","8.758718490600586","8.758718490600586"
"101","9.865102767944336","9.865102767944336","9.865102767944336"
"102","8.154129981994629","8.154129981994629","8.154129981994629"
"103","9.109431266784668","9.109431266784668","9.109431266784668"
"104","8.402301788330078","8.402301788330078","8.402301788330078"
"105","9.515846252441406","9.515846252441406","9.515846252441406"
"106","8.761541366577148","8.761541366577148","8.761541366577148"
"107","7.472355842590332","7.472355842590332","7.472355842590332"
"108","8.186574935913086","8.186574935913086","8.186574935913086"
"109","8.42944049835205","8.42944049835205","8.42944049835205"
"110","8.538180351257324","8.538180351257324","8.538180351257324"
"111","6.548529624938965","6.548529624938965","6.548529624938965"
"112","7.855135917663574","7.855135917663574","7.855135917663574"
"113","8.055402755737305","8.055402755737305","8.055402755737305"
"114","9.55993366241455","9.55993366241455","9.55993366241455"
"115","7.8328423500061035","7.8328423500061035","7.8328423500061035"
"116","7.0361175537109375","7.0361175537109375","7.0361175537109375"
"117","8.717191696166992","8.717191696166992","8.717191696166992"
"118","9.297401428222656","9.297401428222656","9.297401428222656"
"119","8.815285682678223","8.815285682678223","8.815285682678223"
"120","7.872687339782715","7.872687339782715","7.872687339782715"
"121","8.022725105285645","8.022725105285645","8.022725105285645"
"122","9.526529312133789","9.526529312133789","9.526529312133789"
"123","7.824405193328857","7.824405193328857","7.824405193328857"
"124","8.615216255187988","8.615216255187988","8.615216255187988"
"125","8.217235565185547","8.217235565185547","8.217235565185547"
"126","8.209542274475098","8.209542274475098","8.209542274475098"
"127","9.318926811218262","9.318926811218262","9.318926811218262"
"128","8.232110977172852","8.232110977172852","8.232110977172852"
"129","8.191787719726562","8.191787719726562","8.191787719726562"
"130","7.998819828033447","7.998819828033447","7.998819828033447"
"131","8.918329238891602","8.918329238891602","8.918329238891602"
"132","7.1648993492126465","7.1648993492126465","7.1648993492126465"
"133","7.347106456756592","7.347106456756592","7.347106456756592"
"134","6.637331008911133","6.637331008911133","6.637331008911133"
"135","7.816118240356445","7.816118240356445","7.816118240356445"
"136","8.212983131408691","8.212983131408691","8.212983131408691"
"137","8.6282320022583","8.6282320022583","8.6282320022583"
"138","8.478811264038086","8.478811264038086","8.478811264038086"
"139","8.027097702026367","8.027097702026367","8.027097702026367"
"140","7.693306922912598","7.693306922912598","7.693306922912598"
"141","6.681103706359863","6.681103706359863","6.681103706359863"
"142","8.380558013916016","8.380558013916016","8.380558013916016"
"143","8.556096076965332","8.556096076965332","8.556096076965332"
"144","8.533557891845703","8.533557891845703","8.533557891845703"
