"Step","female-silero - loss/g/total","female-silero - loss/g/total__MIN","female-silero - loss/g/total__MAX"
"178","38.388526916503906","38.388526916503906","38.388526916503906"
"179","38.0429573059082","38.0429573059082","38.0429573059082"
"180","36.04451370239258","36.04451370239258","36.04451370239258"
"181","37.887210845947266","37.887210845947266","37.887210845947266"
"182","36.37895965576172","36.37895965576172","36.37895965576172"
"183","36.56072998046875","36.56072998046875","36.56072998046875"
"184","36.54190444946289","36.54190444946289","36.54190444946289"
"185","38.392112731933594","38.392112731933594","38.392112731933594"
"186","38.98990249633789","38.98990249633789","38.98990249633789"
"187","36.83635711669922","36.83635711669922","36.83635711669922"
"188","36.03561782836914","36.03561782836914","36.03561782836914"
"189","37.48637771606445","37.48637771606445","37.48637771606445"
"190","36.8704833984375","36.8704833984375","36.8704833984375"
"191","39.011043548583984","39.011043548583984","39.011043548583984"
"192","36.395660400390625","36.395660400390625","36.395660400390625"
"193","37.40924835205078","37.40924835205078","37.40924835205078"
"194","36.22760772705078","36.22760772705078","36.22760772705078"
"195","36.777854919433594","36.777854919433594","36.777854919433594"
"196","36.86589813232422","36.86589813232422","36.86589813232422"
"197","38.37737274169922","38.37737274169922","38.37737274169922"
"198","36.80991744995117","36.80991744995117","36.80991744995117"
"199","35.247161865234375","35.247161865234375","35.247161865234375"
"200","36.338619232177734","36.338619232177734","36.338619232177734"
"201","37.52997970581055","37.52997970581055","37.52997970581055"
"202","38.131103515625","38.131103515625","38.131103515625"
"203","37.58973693847656","37.58973693847656","37.58973693847656"
"204","35.40156936645508","35.40156936645508","35.40156936645508"
"205","36.98588943481445","36.98588943481445","36.98588943481445"
"206","38.33354568481445","38.33354568481445","38.33354568481445"
"207","36.248924255371094","36.248924255371094","36.248924255371094"
"208","35.26178741455078","35.26178741455078","35.26178741455078"
"209","37.33525085449219","37.33525085449219","37.33525085449219"
"210","38.850860595703125","38.850860595703125","38.850860595703125"
"211","35.237953186035156","35.237953186035156","35.237953186035156"
"212","35.247802734375","35.247802734375","35.247802734375"
"213","39.81954574584961","39.81954574584961","39.81954574584961"
"214","38.08463668823242","38.08463668823242","38.08463668823242"
"215","36.55120849609375","36.55120849609375","36.55120849609375"
"216","37.4498291015625","37.4498291015625","37.4498291015625"
"217","36.41068649291992","36.41068649291992","36.41068649291992"
"218","36.21280288696289","36.21280288696289","36.21280288696289"
"219","36.531455993652344","36.531455993652344","36.531455993652344"
"220","38.01762771606445","38.01762771606445","38.01762771606445"
"221","36.291290283203125","36.291290283203125","36.291290283203125"
"222","35.754432678222656","35.754432678222656","35.754432678222656"
"223","38.03417205810547","38.03417205810547","38.03417205810547"
"224","37.62671661376953","37.62671661376953","37.62671661376953"
"225","35.75605010986328","35.75605010986328","35.75605010986328"
"226","37.30284118652344","37.30284118652344","37.30284118652344"
"227","37.14344024658203","37.14344024658203","37.14344024658203"
"228","36.180198669433594","36.180198669433594","36.180198669433594"
"229","35.36396026611328","35.36396026611328","35.36396026611328"
"230","37.33686065673828","37.33686065673828","37.33686065673828"
"231","36.48236083984375","36.48236083984375","36.48236083984375"
"232","37.424861907958984","37.424861907958984","37.424861907958984"
"233","36.46683120727539","36.46683120727539","36.46683120727539"
"234","37.738433837890625","37.738433837890625","37.738433837890625"
