"Step","female-silero - loss/g/kl","female-silero - loss/g/kl__MIN","female-silero - loss/g/kl__MAX"
"212","2.064279317855835","2.064279317855835","2.064279317855835"
"213","2.7270853519439697","2.7270853519439697","2.7270853519439697"
"214","2.021446704864502","2.021446704864502","2.021446704864502"
"215","2.504300355911255","2.504300355911255","2.504300355911255"
"216","2.3587305545806885","2.3587305545806885","2.3587305545806885"
"217","2.3216562271118164","2.3216562271118164","2.3216562271118164"
"218","2.2761614322662354","2.2761614322662354","2.2761614322662354"
"219","2.3725101947784424","2.3725101947784424","2.3725101947784424"
"220","2.26289701461792","2.26289701461792","2.26289701461792"
"221","2.4279019832611084","2.4279019832611084","2.4279019832611084"
"222","1.9762572050094604","1.9762572050094604","1.9762572050094604"
"223","2.6687498092651367","2.6687498092651367","2.6687498092651367"
"224","2.474546194076538","2.474546194076538","2.474546194076538"
"225","2.4381346702575684","2.4381346702575684","2.4381346702575684"
"226","2.4736931324005127","2.4736931324005127","2.4736931324005127"
"227","2.286719560623169","2.286719560623169","2.286719560623169"
"228","2.3869271278381348","2.3869271278381348","2.3869271278381348"
"229","2.406438112258911","2.406438112258911","2.406438112258911"
"230","2.3247299194335938","2.3247299194335938","2.3247299194335938"
"231","2.0697238445281982","2.0697238445281982","2.0697238445281982"
"232","2.3832383155822754","2.3832383155822754","2.3832383155822754"
"233","2.528778553009033","2.528778553009033","2.528778553009033"
"234","2.1794941425323486","2.1794941425323486","2.1794941425323486"
"235","2.6219284534454346","2.6219284534454346","2.6219284534454346"
"236","2.19590163230896","2.19590163230896","2.19590163230896"
"237","2.7077882289886475","2.7077882289886475","2.7077882289886475"
"238","2.357064962387085","2.357064962387085","2.357064962387085"
"239","2.3776628971099854","2.3776628971099854","2.3776628971099854"
"240","2.1638731956481934","2.1638731956481934","2.1638731956481934"
"241","2.340884208679199","2.340884208679199","2.340884208679199"
"242","2.393941879272461","2.393941879272461","2.393941879272461"
"243","2.9456286430358887","2.9456286430358887","2.9456286430358887"
"244","2.1038818359375","2.1038818359375","2.1038818359375"
"245","2.557354211807251","2.557354211807251","2.557354211807251"
"246","2.4601263999938965","2.4601263999938965","2.4601263999938965"
"247","2.3821380138397217","2.3821380138397217","2.3821380138397217"
"248","2.605992078781128","2.605992078781128","2.605992078781128"
"249","2.2526583671569824","2.2526583671569824","2.2526583671569824"
"250","2.453524351119995","2.453524351119995","2.453524351119995"
"251","2.1842684745788574","2.1842684745788574","2.1842684745788574"
"252","2.3920516967773438","2.3920516967773438","2.3920516967773438"
